indicator,type,severity,confidence,sources,occurrences
8.8.8.8,IP,MEDIUM,0.7,"feed1,feed2",2
evil-site.org,DOMAIN,MEDIUM,0.7,"feed1,feed2",2
bad-domain.net,DOMAIN,MEDIUM,0.7,"feed1,feed2",2
185.199.110.153,IP,LOW,0.5,feed1,1
1.1.1.1,IP,LOW,0.5,feed1,1
10.0.0.1,IP,LOW,0.5,feed1,1
9.9.9.9,IP,LOW,0.5,feed1,1
192.168.1.5,IP,LOW,0.5,feed1,1
45.67.89.10,IP,LOW,0.5,feed1,1
malicious-example.com,DOMAIN,LOW,0.5,feed1,1
paypal-verification-alert.com,DOMAIN,LOW,0.5,feed1,1
secure-login-update.net,DOMAIN,LOW,0.5,feed1,1
https://bad-domain.net/reset,URL,LOW,0.5,feed1,1
http://evil-site.org/login,URL,LOW,0.5,feed1,1
https://secure-login-update.net/auth,URL,LOW,0.5,feed1,1
d41d8cd98f00b204e9800998ecf8427e,HASH,LOW,0.5,feed1,1
5baa61e4c9b93f3f0682250b6cf8331b7ee68fd8,HASH,LOW,0.5,feed1,1
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,HASH,LOW,0.5,feed1,1
support@evil-site.org,EMAIL,LOW,0.5,feed1,1
admin@bad-domain.net,EMAIL,LOW,0.5,feed1,1
alerts@secure-login-update.net,EMAIL,LOW,0.5,feed1,1
23.45.67.89,IP,LOW,0.5,feed2,1
192.168.100.10,IP,LOW,0.5,feed2,1
10.10.10.10,IP,LOW,0.5,feed2,1
172.16.0.5,IP,LOW,0.5,feed2,1
103.21.244.0,IP,LOW,0.5,feed2,1
172.217.16.142,IP,LOW,0.5,feed2,1
account-security-alert.com,DOMAIN,LOW,0.5,feed2,1
login-confirmation.net,DOMAIN,LOW,0.5,feed2,1
https://login-confirmation.net/verify,URL,LOW,0.5,feed2,1
http://evil-site.org/auth,URL,LOW,0.5,feed2,1
https://account-security-alert.com/update,URL,LOW,0.5,feed2,1
cf83e1357eefb8bdf1542850d66d8007d620e4050b5715dc83f4a921d36ce9ce,HASH,LOW,0.5,feed2,1
098f6bcd4621d373cade4e832627b4f6,HASH,LOW,0.5,feed2,1
2fd4e1c67a2d28fced849ee1bb76e7391b93eb12,HASH,LOW,0.5,feed2,1
noreply@login-confirmation.net,EMAIL,LOW,0.5,feed2,1
billing@bad-domain.net,EMAIL,LOW,0.5,feed2,1
contact@evil-site.org,EMAIL,LOW,0.5,feed2,1
